,Unnamed: 0,title,price,description,description2,image
0,0,English Breakfast Tea Bags,500,"The perfect everyday breakfast tea, in a convenient pyramid teabag.","A classic breakfast tea of the highest quality. Two individually wonderful Glenburn teas -  subtle Darjeeling Leaf Tea and malty Khongea Assam Leaf Tea- compliment each other beautifully. 
Blended to be delicious with or without milk.
20 individually wrapped pyramid teabags.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/e/n/english_breakfast_tb_4_.jpg
1,1,Green Tea Bags,500,Pure Darjeeling Green Tea in a silky pyramid teabag,"Enjoy sweet and refreshing, great Green Darjeeling Tea anytime and anywhere, in the convenience of individually-wrapped  roomy and silky pyramid tea bags. 

20 individually wrapped pyramid teabags.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/g/r/green_tb_4_.jpg
2,2,Pure Assam Tea Bags,500,Convenient tea pyramid bags filled with full leaf Assam tea," Rich and robust, top-quality golden-tipped Assam tea from the Glenburn Khongea Estate, that gives a warm golden liquor and has a strong malty finish.                     Can be drunk with milk and sugar.
20 individually wrapped pyramid teabags.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/b92737808d806fe5cae365f9a34b3c52/a/s/assam_tb_4_.jpg
3,3,Pure Darjeeling Tea Bags,500,Top quality Darjeeling tea in a roomy pyramid teabag,"For an easy-to-brew, top quality cup of bright and aromatic Autumn Darjeeling, these roomy, silky pyramid teabags are perfect. Darjeeling tea on the go.

20 individually wrapped pyramid teabags.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/b92737808d806fe5cae365f9a34b3c52/d/a/darjeeling_tb_4_.jpg
4,4,Vintage Earl Grey Tea Bags,500,Silky tea pyramids filled with an aromatic Earl Grey blend,"This classic afternoon Earl Grey has a base of robust, flavourful Khongea Assam is infused with Italian Bergamot for its characteristic, heady citrus aroma. In convenient teabags so you can enjoy a fine cup of tea wherever you are. 20 individually wrapped pyramid teabags.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/823433a16ab28461d3b72811e4e38681/e/a/earl_grey_tb_4__1.jpg
5,5,Chamomile Tea Tin,500,"Soothing, calming Chamomile flowers to help relieve stress and fatigue","This delicate Glenburn tisane is made from the of finest Chamomile flowers, to give a fresh yet soothing taste and a warm, calming aroma that cheers the soul.   Perfect for a night-time cuppa or at any time of the day to lift and revive your spirits. A refreshing drink that can cure a common cold or an upset tummy.",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/ce384b53462f468731d8d9667225e491/r/m/rmk_1358_1.jpg
6,6,Classic Teas of India - Glenburn Gift Set,1400,"A strong, malty Assam, a delicate, flavoury Darjeeling, and a smooth, refreshing Green - a fine collection from the famous tea growing regions of India.","Indian tea is world famous. The most sought after of these are teas produced in Assam, famous for the distinct, strong and malty flavour; and in the Himalayan mountains of Darjeeling, renown for a delicate and flavory cup of light-liquoring tea.  3 distinctive varieties brought to you from experienced tea-makers of the Glenburn Assam and Khongea Tea Estates - A truly classic collection packaged in a natural jute bag - a perfect gift for any tea lover. 

Teas Included: Khongea Assam Golden Tips Tea (50g), Glenburn Darjeeling Autumn Crescendo Tea (50g), Glenburn Darjeeling Green Tea (50g)",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/315eb9caba03b42378f8bb0cde95e490/c/l/classic_gift_set_1.jpg
7,7,Earl Grey Tea Tin,500,A pure Assam tea with a whiff of the finest Italian bergamot.,"Bergamia has been known for its beneficial digestive, immune-boosting and mood-lifting properties for centuries. Enjoy this Assam tea with a citrusy twist - packed with anti-oxidants to reduce stress and lift your spirits!",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/e/a/earl_grey_tin.jpg
8,8,Festive Gift Box - Glenburn Elephant Gift Set,1800,"A set of three tins containing Darjeeling, Assam and Green Tea."," 3 gorgeous gift tins, each containing ten pyramid teabags  of Glenburn's top teas. Packed in a beautiful gift box with the classic Indian Elephant design, this gift set of fine Indian tea   makes a unique and special gift.

Tea Bags Included: Pure Assam Premium Tea Bags (10 pc), Pure Darjeeling Premium Tea Bags (10 pc), Darjeeling Green Premium Tea Bags (10 pc)",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/f4f733e9dddcae77b0017210844dbd17/e/l/elephant_gift_box.jpg
9,10,Glenburn Christmas Tea Tin,550,"Raise a cup of Glenburn tea to peace, love and happiness during Christmas and the New Year!","Malty Glenburn Khongea Assam tea enriched with a warm fruity glow of orange and Indian rose and balanced by notes of a lingering spicy aroma of ginger and the cinnamon to warm you through the cold months, to bring on some winter cheer.
Celebrate the festive season with this special Christmas tea from the master blenders at Glenburn
",https://www.glenburnfinetea.com/pub/media/catalog/product/cache/dbfab9ebdb92de0b9b6e90346353e191/f/i/final_christmas_tea_65_copy_square_1.jpg
